Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
124*,Not Out,124,145,85.51,16,2,6,4,v Sri Lanka,Pallekele,Away,27-Aug-17,57.9,84,61,,,0.88,0.88,2.032786885,48,0.387096774,Win,218,1,Dusty/Dry ,1.5,Sunny,2.410899706,298.9515636
104,Out,104,88,118.18,11,3,6,4,v Sri Lanka,Colombo (RPS),Away,31-Aug-17,38.6,34,54,79,3,0.931818182,0.9,1.925925926,42,0.403846154,Win,375,1,Dead/Flat,1,Sunny,2.539121568,264.0686431
16,Out,16,20,80,1,0,6,4,v Sri Lanka,Colombo (RPS),Away,03-Sep-17,50,10,10,12,4,0.8,,1.6,12,0.75,Win,239,1, Dead/Flat,1,Overcast,2.225540928,35.60865486
28,Out,28,44,63.63,3,0,2,5,v Australia,Chennai,Home,17-Sep-17,61.4,27,17,35,3,0.863636364,,1.647058824,16,0.571428571,Win,281,2,Dusty/Dry,1.5,Overcast,2.371769649,66.40955018
7,Out,7,14,50,1,0,2,5,v Australia,Kolkata,Home,21-Sep-17,71.4,10,4,8,2,0.714285714,,1.75,3,0.428571429,Win,252,2,Green,2,Sunny,2.04272707,14.29908949
71,Out,71,62,114.51,6,4,2,5,v Australia,Indore,Home,24-Sep-17,50,31,31,57,1,0.935483871,,2.290322581,23,0.323943662,Win,294,2,Dead/Flat,1,Sunny,2.548446279,180.9396858
65,Out,65,55,118.18,1,5,2,5,v Australia,Bengaluru,Home,28-Sep-17,36.4,20,35,50,1,0.927272727,,1.857142857,31,0.476923077,Loss,313,2,Dead/Flat,1,Overcast,2.527606296,164.2944093
125,Out,125,109,114.67,11,5,2,5,v Australia,Nagpur,Home,01-Oct-17,45,49,60,,,0.85,0.85,2.083333333,51,0.408,Win,243,2,Dusty/Dry,1.5,Sunny,2.339646852,292.4558565
20,Out,20,18,111.11,0,2,4,4,v New Zealand,Mumbai,Home,22-Oct-17,61.1,11,7,13,0,0.722222222,,2.857142857,8,0.4,Loss,280,1,Dead/Flat,1,Sunny,2.059003694,41.18007388
7,Out,7,19,36.84,1,0,4,4,v New Zealand,Pune,Home,25-Oct-17,89.5,17,2,9,9,0.947368421,,3.5,3,0.428571429,Win,232,1,Dusty/Dry,1.5,Sunny,2.578914106,18.05239874
147,Out,147,138,106.52,18,2,4,4,v New Zealand,Kanpur,Home,29-Oct-17,43.5,60,78,,,0.94,0.94,1.884615385,63,0.428571429,Win,337,1,Dusty/Dry,1.5,Sunny,2.559981418,376.3172685
2,Out,2,13,15.38,0,0,6,4,v Sri Lanka,Dharamsala,Home,10-Dec-17,92.3,12,1,7,5,0.923076923,,2,2,1,Loss,112,1,Green,2,Clear,2.517023174,5.034046347
208*,Not Out,208,153,135.94,13,12,6,4,v Sri Lanka,Mohali,Home,13-Dec-17,34.6,53,100,,,0.87,0.87,2.08,84,0.403846154,Win,392,1,Green,2,Overcast,2.386910854,496.4774575
