Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
28,Out,28,48,58.33,4,0,2,5,v India,Mount Maunganui,Home,28-Jan-19,68.8,33.024,14.976,41,2,0.895833333,,1.86965812,12,0.428571429,Loss,243,3,Dusty/Dry,1.5,Clear,2.449376085,68.58253038
11,Out,11,18,61.11,2,0,2,5,v India,Hamilton,Home,31-Jan-19,77.8,14.004,3.996,12,2,0.777777778,,2.752752753,3,0.272727273,Win,93,3,Dead/Flat,1,Sunny,2.176629932,23.94292925
39,Out,39,73,53.42,3,0,2,5,v India,Wellington,Home,03-Feb-19,64.4,47.012,25.988,66,,0.904109589,,1.500692627,27,0.692307692,Loss,217,3,Green,2,Sunny,2.469731867,96.31954281
11,Out,11,22,50,1,0,7,3,v Bangladesh,Napier,Home,13-Feb-19,63.6,13.992,8.008,20,0,0.909090909,,1.373626374,7,0.636363636,Win,233,3,Green,2,Clear,2.482065084,27.30271592
65*,Not Out,65,86,75.58,3,0,7,3,v Bangladesh,Christchurch,Home,16-Feb-19,45.3,38.958,47.042,,,0.95,0.95,1.381743973,53,0.815384615,Win,229,3,Dead/Flat,1,Clear,2.585709659,168.0711278
DNB,,,,,,,9,3,v Sri Lanka,Cardiff,Neutral,01-Jun-19,,,,,,,,,,,Win,137,,Green,2,Clear,,
40,Out,40,72,55.55,1,0,7,3,v Bangladesh,The Oval,Neutral,05-Jun-19,52.8,38.016,33.984,65,0,0.902777778,,1.177024482,36,0.9,Win,248,3,Dusty/Dry,1.5,Overcast,2.466444841,98.65779364
79*,Not Out,79,99,79.79,9,0,10,2,v Afghanistan,Taunton,Neutral,08-Jun-19,52.5,51.975,47.025,,,0.85,0.85,1.679957469,43,0.544303798,Win,173,3,Dead/Flat,1,Clear,2.339646852,184.8321013
106*,Not Out,106,138,76.81,9,1,3,5,v South Africa,Birmingham,Neutral,19-Jun-19,52.2,72.036,65.964,,,0.78,0.78,1.606937117,64,0.603773585,Win,245,3,Dead/Flat,1,Overcast,2.181472265,231.2360601
148,Out,148,154,96.1,14,1,8,3,v West Indies,Manchester,Neutral,22-Jun-19,45.5,70.07,83.93,,,0.84,0.84,1.76337424,86,0.581081081,Win,291,3,Dead/Flat,1,Clear,2.316366977,342.8223126
41,Out,41,69,59.42,4,0,6,4,v Pakistan,Birmingham,Neutral,26-Jun-19,63.8,44.022,24.978,49,12,0.884057971,,1.641444471,25,0.609756098,Loss,237,3,Dusty/Dry,1.5,Overcast,2.420702945,99.24882075
40,Out,40,51,78.43,2,1,5,4,v Australia,Lord's,Neutral,29-Jun-19,54.9,27.999,23.001,40,1,0.803921569,,1.739054824,26,0.65,Loss,157,3,Green,2,Sunny,2.234285676,89.37142704
27,Out,27,40,67.5,3,0,1,5,v England,ChesterleStreet,Away,03-Jul-19,62.5,25,15,35,4,0.975,,1.8,15,0.555555556,Loss,186,3,Dead/Flat,1,Clear,2.651167211,71.5815147
67,Out,67,95,70.52,6,0,2,5,v India,Manchester,Neutral,09-Jul-19,55.8,53.01,41.99,80,6,0.905263158,,1.595618004,43,0.641791045,Win,239,3,Dusty/Dry,1.5,Overcast,2.472582517,165.6630286
30,Out,30,53,56.6,2,0,1,5,v England,Lord's,Away,14-Jul-19,62.8,33.284,19.716,39,7,0.867924528,,1.521606817,22,0.733333333,Draw,241,3,Dusty/Dry,1.5,Overcast,2.381962024,71.45886072
22,Out,22,31,70.96,2,0,2,5,v India,Mount Maunganui,Home,11-Feb-20,48.4,15.004,15.996,27,0,0.870967742,,1.375343836,14,0.636363636,Win,300,3,Green,2,Sunny,2.389221885,52.56288147
19,Out,19,26,73.07,2,0,5,4,v Australia,Sydney,Away,13-Mar-20,53.8,13.988,12.012,23,0,0.884615385,,1.581751582,11,0.578947368,Loss,187,3,Green,2,Sunny,2.422052655,46.01900045
